Кол-во элементов,DynamicArray,LinkedList
10000,0.200282,0.0118061
11000,0.206151,0.0143012
12000,0.246676,0.0170143
13000,0.288155,0.0199575
14000,0.336892,0.0229994
15000,0.385483,0.0263163
16000,0.436866,0.0301312
17000,0.495039,0.0341109
18000,0.556699,0.0388003
19000,0.630607,0.0484858
20000,0.702611,0.051531
